Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
GEO V2: VVS - 17 byer		Search	Google search	100.00	Daily	Doesn't have EU political ads	Account-level	Bid equally	da	Maximize clicks		Disabled	45.00	[]	[]	Off	[]	Rotate indefinitely	[]	Location of presence or Area of interest	Location of presence	Audience segments	Audience segments	Disabled	Disabled	Disabled																																																																																														Enabled					
GEO V2: VVS - 17 byer									All													Audience segments	Audience segments;Genders;Ages;Parental status;Household incomes				GEO V2: VVS - 17 byer - Hovedgruppe														None	Disabled	Disabled	Enabled	Standard	[]																																																																										Enabled	Enabled				
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Albertslund	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-albertslund/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Brøndby	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-broendby/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Brøndby Strand	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-broendby-strand/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Frederiksberg C	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-frederiksberg-c/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Glostrup	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-glostrup/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Greve	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-greve/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Hedehusene	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-hedehusene/																																											Enabled	Enabled	Enabled	Pending review		
GEO V2: VVS - 17 byer																											GEO V2: VVS - 17 byer - Hovedgruppe	45.00																																								VVS Hvidovre	Phrase	0.00	0.00	0.00		 -	 -	 -	https://johnsvvs.dk/vvs-hvidovre/																																											Enabled	Enabled	Enabled	Pending review		
